,entry,product
0,1.1.1.1,C00071
3,1.1.1.1,C01450
4,1.1.1.1,C00226
6,1.1.1.1,C01612
7,1.1.1.38,C00022
10,1.1.1.38,C00149
12,1.1.1.38,C00036
13,1.1.1.40,C00022
16,1.1.1.40,C00149
18,1.1.1.40,C00036
19,1.1.1.42,C00026
23,1.1.1.42,C05379
24,1.1.1.42,C00311
27,1.1.1.85,C00233
31,1.1.1.85,C04236
32,1.1.1.85,C04411
37,1.1.1.110,C01179
38,1.1.1.110,C00331
39,1.1.1.110,C05607
41,1.1.1.110,C03964
42,1.1.1.110,C22006
43,1.1.1.153,C00835
46,1.1.1.153,C03684
47,1.1.1.153,C02953
49,1.1.1.153,C00272
50,1.1.1.187,C01222
54,1.1.1.187,C03117
57,1.1.1.187,C02977
58,1.1.1.203,C20889
61,1.1.1.203,C20890
63,1.1.1.237,C01179
67,1.1.1.237,C04045
68,1.1.1.237,C03964
71,1.1.1.237,C22038
72,1.1.1.276,C06735
76,1.1.1.276,C11822
77,1.1.1.276,C00065
80,1.1.1.282,C00944
84,1.1.1.282,C02637
85,1.1.1.282,C00296
88,1.1.1.282,C00493
89,1.1.1.286,C00026
92,1.1.1.286,C00322
94,1.1.1.286,C00311
96,1.1.1.286,C05662
97,1.1.1.287,C00310
100,1.1.1.287,C00309
101,1.1.1.287,C01904
103,1.1.1.297,C18019
106,1.1.1.297,C11937
107,1.1.1.297,C18020
109,1.1.1.297,C07276
110,1.1.1.297,C19082
111,1.1.1.324,C17622
114,1.1.1.324,C20222
115,1.1.1.324,C20223
116,1.1.1.324,C17621
120,1.1.1.325,C00835
123,1.1.1.325,C03684
124,1.1.1.325,C20263
126,1.1.1.325,C20264
127,1.1.1.352,C20502
130,1.1.1.352,C20500
132,1.1.1.352,C20501
133,1.1.1.353,C20503
136,1.1.1.353,C20505
137,1.1.1.353,C20507
138,1.1.1.353,C20504
140,1.1.1.353,C20506
141,1.1.1.353,C20508
142,1.1.1.360,C00198
145,1.1.1.360,C02669
146,1.1.1.360,C00031
148,1.1.1.360,C00124
149,1.1.1.372,C02426
152,1.1.1.372,C00577
153,1.1.1.372,C00116
155,1.1.1.381,C01888
159,1.1.1.381,C03508
160,1.1.1.381,C05519
163,1.1.1.387,C06735
167,1.1.1.387,C11822
168,1.1.1.387,C00065
173,1.1.1.394,C21140
176,1.1.1.396,C18155
179,1.1.1.396,C18153
181,1.1.1.396,C18154
184,1.1.1.398,C21374
187,1.1.1.408,C00111
191,1.1.1.408,C21610
192,1.1.1.408,C21585
195,1.1.1.409,C00111
199,1.1.1.409,C03393
201,1.1.3.8,C00072
203,1.1.3.8,C03289
204,1.1.3.8,C01040
207,1.1.3.17,C00719
209,1.1.3.17,C00576
210,1.1.3.17,C00114
214,1.1.3.28,C11631
216,1.1.3.28,C01993
217,1.1.3.28,C00294
220,1.1.3.39,C11501
222,1.1.3.39,C11500
223,1.1.3.39,C00212
227,1.1.3.47,C20450
229,1.1.3.47,C20899
230,1.1.3.47,C20900
231,1.1.3.47,C20449
232,1.1.3.47,C20901
233,1.1.3.47,C11101
241,1.1.99.29,C15592
243,1.1.99.29,C15594
244,1.1.99.41,C21678
246,1.1.99.41,C21683
247,1.1.99.41,C04578
249,1.1.99.41,C21682
250,1.2.1.31,C00956
254,1.2.1.31,C00450
256,1.2.1.31,C04076
261,1.2.1.95,C00956
265,1.2.1.95,C04076
269,1.2.3.15,C00048
271,1.2.3.15,C00022
272,1.2.3.15,C14448
275,1.2.3.15,C00546
276,1.2.99.10,C21768
278,1.2.99.10,C21770
279,1.2.99.10,C21766
282,1.2.99.10,C19798
283,1.3.1.1,C00106
286,1.3.1.1,C00178
287,1.3.1.1,C00429
289,1.3.1.1,C00906
290,1.3.1.3,C00599
293,1.3.1.3,C00762
294,1.3.1.3,C03091
296,1.3.1.81,C09893
299,1.3.1.81,C00843
301,1.3.1.81,C11952
302,1.3.1.87,C04044
305,1.3.1.87,C12623
306,1.3.1.87,C11588
308,1.3.1.87,C12622
319,1.3.1.107,C06162
323,1.3.1.107,C06327
324,1.3.1.107,C05191
327,1.3.1.107,C05194
328,1.3.1.112,C21381
331,1.3.1.112,C21379
333,1.3.1.112,C21380
334,1.3.1.114,C21906
337,1.3.1.114,C21908
338,1.3.1.114,C21905
341,1.3.1.114,C21907
343,1.3.1.115,C21469
346,1.3.1.115,C21471
347,1.3.1.115,C21910
349,1.3.1.115,C21909
350,1.3.1.117,C00223
353,1.3.1.117,C00406
354,1.3.1.117,C21913
356,1.3.1.117,C21914
357,1.3.2.3,C05422
358,1.3.2.3,C00126
360,1.3.2.3,C00072
361,1.3.2.3,C01115
